City,GDP,"Incineration.Amount(10,000ton)"
Shizuishan City,482.4,21.77
Shouguang City,806.9,12.6
Shuozhou City,910,23
Suzhou City(Jiangsu),14504.07,214.33
Suizhou City,785,21.29
Suining City,915.81,60.91
Taipei City,5412.65,351.93
Taitung County,254,22
Tainan City,2378.27,127.33
Taichung City,3774.95,106
Taizhou City,3558.13,77.81
Taicang City,625.64,14
Taiyuan City,2735.34,23
Tai'an City,3240,31.71
Taizhou City,3655.53,29
Tangshan City,6225.3,24
Taoyuan City,2990.09,93.75
Tianjin Municipality,16538.19,421.66
Tianmen City,440,16.43
Tieling City,745,31
Tongliao City,1877.27,31
Tongchuan city,324.54,13.63
Tongling City,721.3,10.74
Wafangdian City,935.9,33
Weihai City,3001.57,41.35
Weifang City,5100,47.43
Weinan City,1469.08,20.39
Wenzhou City,4619.84,24
Wendeng City,829.7,25
Wenshan Prefecture,190.1,10.33
Wuhai City,258.92,23
Urumqi City,2680,138.55
Wuxi City,8518.26,198.34
Wuhu City,2457.3,27
Wujiang City,1540,28
Wuhan City,10905.06,330.68
Xi’an city,5810.03,332.34
Xining City,1131.62,55.8
Sipsongpanna Prefecture,335.9,23
Xilin Gol League,1002.6,22
Xiantao city,590,18.89
Xianning City,1035,15.26
Xianyang City,2155.91,30.96
HongKong SAR,17900,594.48
Shangri-la City,100.9,4.64
Xiangtan City,1703.1,30.42
Xiangyang City,3400,34.33
Xiaogan City,1460,16.4
Xinzhou City,680,23
New Taipei City,5470.33,24
Xinyu City,946.8,16.1
Hsinchu City,686,24
Hsinchu County,714,24
Xinyang City,1877.75,27.11
Xingtai City,1668.1,27
Hinggan League,502.31,29
Suqian City,2126.19,27
Suzhou City(Anhui),1235.8,29
Xuzhou City,5319.88,31
Xuchang City,2170.6,23.33
Xuancheng City,971.5,14
Yaan City,517.72,15.19
Yantai City,6446.08,119.91
Yanan City,1198.63,13.21
Yancheng City,4212.5,24
Yangzhou City,4016.84,31
Yangjiang City,1256,22.82
Yangquan City,598.85,23
Yibin City,1529.9,29.21
Yichang City,3384.8,31.43
Yichun City,1621.02,16.75
Yilan County,565,24
Yixing City,1320,14
Yiwu City,1046,14
Yiyang City,1354.41,17.19
Yinchuan City,1480.73,51.93
Yingtan City,639.26,14
Yingkou City,1500,24
Yongzhou City,1418.18,18.85
Yuxi City,1245.7,10.86
Yueyang City,2886.28,29.28
Yunfu City,710.07,10.76
Yunlin County,715,24
Yuncheng City,1173.54,30
Zaozhuang City,2030,46.25
Zhanjiang City,2450,37.63
Zhangjiagang City,2229.82,24
Zhangjiajie City,447.7,12.43
Zhangjiakou City,1363.54,23
Zhangqiu City,870.8,29
Changhua County,1356,24
Zhangzhou City,2767.45,24
